rules,,support,confidence,lift,count
551,"{HP Laptop,iMac} => {Dell Desktop}",0.022267412,0.294751009,2.199450818,219
550,"{Dell Desktop,iMac} => {HP Laptop}",0.022267412,0.407821229,2.101059082,219
549,"{Dell Desktop,HP Laptop} => {iMac}",0.022267412,0.495475113,1.934496918,219
105,{LG Monitor} => {iMac},0.022267412,0.386243386,1.508020525,219
101,{ASUS Chromebook} => {iMac},0.021352313,0.406976744,1.588970337,210
109,{Apple Wireless Keyboard} => {iMac},0.020945602,0.322884013,1.260644805,206
108,{Acer Monitor} => {iMac},0.020538892,0.348275862,1.359782891,202
97,{Epson Printer} => {iMac},0.020437214,0.424947146,1.659132664,201
103,{iPad Pro} => {iMac},0.019827148,0.378640777,1.478337451,195
548,"{iMac,Lenovo Desktop Computer} => {Dell Desktop}",0.018607016,0.316608997,2.362556511,183
547,"{Dell Desktop,iMac} => {Lenovo Desktop Computer}",0.018607016,0.340782123,2.301917705,183
546,"{Dell Desktop,Lenovo Desktop Computer} => {iMac}",0.018607016,0.506925208,1.979201833,183
558,"{CYBERPOWER Gamer Desktop,HP Laptop} => {iMac}",0.01799695,0.422434368,1.649321955,177
559,"{CYBERPOWER Gamer Desktop,iMac} => {HP Laptop}",0.01799695,0.317204301,1.634208644,177
91,{HP Wireless Mouse} => {iMac},0.017793594,0.408878505,1.596395432,175
88,{AOC Monitor} => {iMac},0.017183528,0.40821256,1.593795368,169
94,{Computer Game} => {iMac},0.016573462,0.394673123,1.540932977,163
85,{Intel Desktop} => {iMac},0.016471784,0.415384615,1.621797417,162
556,"{CYBERPOWER Gamer Desktop,iMac} => {Lenovo Desktop Computer}",0.016065074,0.283154122,1.91265164,158
555,"{CYBERPOWER Gamer Desktop,Lenovo Desktop Computer} => {iMac}",0.016065074,0.446327684,1.742609277,158
557,"{iMac,Lenovo Desktop Computer} => {CYBERPOWER Gamer Desktop}",0.016065074,0.273356401,1.486158213,158
491,"{Acer Desktop,iMac} => {HP Laptop}",0.015963396,0.438547486,2.259358054,157
490,"{Acer Desktop,HP Laptop} => {iMac}",0.015963396,0.511400651,1.99667543,157
518,"{iMac,Lenovo Desktop Computer} => {ViewSonic Monitor}",0.015760041,0.26816609,2.430795848,155
516,"{Lenovo Desktop Computer,ViewSonic Monitor} => {iMac}",0.015760041,0.555555556,2.169070619,155
517,"{iMac,ViewSonic Monitor} => {Lenovo Desktop Computer}",0.015760041,0.318930041,2.154311095,155
73,{Eluktronics Pro Gaming Laptop} => {iMac},0.015760041,0.441595442,1.724133056,155
505,"{Dell Desktop,iMac} => {ViewSonic Monitor}",0.014743264,0.270018622,2.447588154,145
340,"{Apple Magic Keyboard,iMac} => {HP Laptop}",0.014743264,0.455974843,2.349142262,145
504,"{iMac,ViewSonic Monitor} => {Dell Desktop}",0.014743264,0.298353909,2.226335887,145
503,"{Dell Desktop,ViewSonic Monitor} => {iMac}",0.014743264,0.555555556,2.169070619,145
339,"{Apple Magic Keyboard,HP Laptop} => {iMac}",0.014743264,0.51056338,1.993406449,145
537,"{Apple Earpods,iMac} => {HP Laptop}",0.01403152,0.348484848,1.795363271,138
536,"{Apple Earpods,HP Laptop} => {iMac}",0.01403152,0.428571429,1.673283049,138
81,{HP Wireless Printer} => {iMac},0.013726487,0.369863014,1.444066193,135
542,"{CYBERPOWER Gamer Desktop,Dell Desktop} => {iMac}",0.013624809,0.448160535,1.749765329,134
77,{ASUS Desktop} => {iMac},0.013624809,0.364130435,1.42168433,134
379,"{Acer Aspire,iMac} => {HP Laptop}",0.013421454,0.437086093,2.251829084,132
378,"{Acer Aspire,HP Laptop} => {iMac}",0.013421454,0.461538462,1.80199713,132
299,"{HP Laptop,Microsoft Office Home and Student 2016} => {iMac}",0.012913066,0.552173913,2.15586758,127
300,"{iMac,Microsoft Office Home and Student 2016} => {HP Laptop}",0.012913066,0.416393443,2.145222372,127
511,"{CYBERPOWER Gamer Desktop,ViewSonic Monitor} => {iMac}",0.012811388,0.527196653,2.058348186,126
68,{Brother Printer} => {iMac},0.012811388,0.388888889,1.518349433,126
512,"{iMac,ViewSonic Monitor} => {CYBERPOWER Gamer Desktop}",0.012811388,0.259259259,1.409516205,126
75,{Wireless Portable Mouse} => {iMac},0.012811388,0.333333333,1.301442371,126
489,"{Acer Desktop,iMac} => {Lenovo Desktop Computer}",0.012302999,0.337988827,2.283049527,121
488,"{Acer Desktop,Lenovo Desktop Computer} => {iMac}",0.012302999,0.530701754,2.072033249,121
484,"{Acer Desktop,iMac} => {Dell Desktop}",0.011896289,0.326815642,2.438719153,117
